diameter,height,length,rings,sex,shell-weight,shucked-weight,viscera-weight,whole-weight
91.0,34.0,116.0,13.849678562990809,0.0,44.0,81.6,51.8,186.0
103.0,34.0,127.0,12.433066965399075,0.0,68.0,101.8,57.2,255.0
116.0,41.0,140.0,9.799194291501317,0.0,22.589932481266224,148.3,98.0,426.0
105.0,37.0,135.0,13.0,0.0,79.0,138.7,67.2,317.4
105.0,38.0,97.1531119377197,8.267970711731973,1.0,79.0,140.7,77.7,305.3810392814293
117.0,43.0,149.0,7.453568250583236,0.0,66.70809634837009,185.3,84.36654665130013,97.8876628743538
incons,15.722062069522002,137.0,8.611982589505558,1.0,62.0500310486989,149.9,78.4,353.6
98.0,17.100014373552305,121.0,10.039943712016559,0.0,70.0,96.0,57.4,245.4
93.0,30.0,118.0,12.0,4.1115510859913735,22.37233211028831,78.4,49.2,199.4
105.0,35.0,130.0,incons,1.0,89.0,122.0,59.9,284.5
96.0,30.0,99.20000000000002,10.15090166205583,1.0,59.0,incons,54.1,205.8
incons,35.0,124.0,12.0,incons,70.0,incons,60.3,incons
103.0,32.0,126.0,6.621366301396751,0.0,71.0,84.3,48.8,203.2
93.0,29.0,incons,11.0,0.0,53.0,88.1,33.1,177.4
91.0,24.0,116.0,10.0,1.0,53.0,95.8,54.7,214.7
98.0,36.0,126.0,12.0,0.0,63.0,91.6,55.3,226.0
112.0,43.0,138.0,4.721855076440099,1.0,94.0,136.0,59.8,343.8
109.0,33.0,130.0,10.40902087980304,1.0,83.0,132.9,69.1,313.2
113.0,39.0,132.0,10.264915687566356,1.0,43.61852326349177,138.4,65.3,91.65
116.0,40.0,136.0,8.923022593032798,1.0,120.0,117.0,90.6,357.4
incons,34.0,140.0,14.0,1.0,84.0,101.9,35.53089326041302,91.65
incons,30.0,137.0,13.0,0.0,80.0,incons,58.4,-42.75000000000001
109.0,39.0,135.0,10.48099393963148,1.0,121.0,136.9,73.9,346.9
98.0,38.0,126.0,9.302006834657995,0.0,57.0,98.7,67.3,235.5
90.0,32.0,117.0,10.0,1.0,14.608631218086131,99.9,57.5,215.4
93.0,35.0,113.0,15.0,0.0,74.0,77.9,36.6,199.0
99.0,37.0,122.0,12.0,1.0,66.0,74.1,62.7,221.7
94.0,36.0,121.0,8.239900380345997,0.0,77.0,-49.55000000000001,56.1,228.1
84.0,29.0,107.0,10.0,0.0,50.0,66.0,37.8,158.2
80.0,incons,97.0,10.0,0.0,40.0,62.6,27.4,132.6
75.0,24.0,94.0,12.0,0.0,18.42971997851691,45.2,48.557599301181256,111.3
85.0,27.0,109.0,10.0,0.0,47.0,74.6,42.0,168.9
74.0,21.0,91.0,9.0,1.0,27.0,43.2,24.9,98.5
84.0,31.0,108.0,incons,0.0,43.0,70.3,30.4,147.7
76.0,27.0,92.0,10.0,0.0,29.0,41.4,21.537155315995566,96.4
incons,25.0,98.0,14.0,0.0,44.0,47.8,28.7,121.8
75.0,24.0,90.11134939996589,9.0,3.0,28.0,44.4,23.8,94.2
65.0,20.0,120.39952032168583,10.0,3.0,21.0,30.7,11.9,64.3
75.0,25.0,95.0,10.0,0.0,36.0,55.4,23.0,118.6
75.0,25.0,94.0,10.0,1.0,36.0,incons,incons,112.3
59.0,19.0,73.0,9.0,incons,16.0,21.5,10.9,50.0
55.0,19.0,69.0,6.0,3.0,14.0,15.1,10.7,39.9
38.529824158319514,20.0,incons,11.0,3.0,23.0,23.2,12.8,11.617625114855883
63.01418530811637,28.0,100.0,10.0,1.0,48.0,63.3,35.2,143.1
76.0,29.0,94.0,8.0,0.0,37.0,47.7,28.8,117.3
88.0,30.0,107.0,12.0,0.0,52.0,51.2,27.8,incons
62.806159422429495,30.0,117.0,11.0,0.0,62.0,87.1,41.5,108.7821008980797
73.0,24.0,97.0,9.0,1.0,35.0,54.0,26.2,181.69316158332046
91.0,27.0,103.0,9.0,0.0,47.0,59.0,32.5,144.5
65.0,22.0,87.0,7.0,1.1704274370964962,31.0,35.6,19.7,86.7
83.0,28.0,103.0,12.582705705027658,1.0,40.0,62.3,30.4,138.7
69.0,24.0,88.0,7.0,2.700054153662017,incons,33.1,16.6,73.0
88.0,30.0,105.0,12.0,1.0,48.0,73.7,39.7,168.5
71.0,incons,90.0,8.0,0.0,30.0,42.5,20.9,95.8
97.0,24.0,118.0,6.473844680247639,0.0,3.3774456865721234,78.0,22.019859140813708,182.2
90.0,incons,104.60797707895426,8.738301956193679,-0.7063782256392239,57.0,80.0,49.2,183.0
96.5154274424291,19.0,114.0,8.0,-0.1749361383261392,47.0,67.9,44.3,165.4
100.0,24.033590388051316,incons,incons,0.0,68.0,91.3,48.5,220.9
95.0,24.0,117.0,14.0,0.0,56.0,82.0,42.3,189.0
92.0,24.0,116.0,11.0,1.0,44.66729790664165,92.5,47.7,198.7
88.0,5.128585710054363,109.0,12.0,1.2863377026862683,48.0,69.5,34.3,incons
99.0,incons,121.0,14.0,1.0,78.0,105.6,49.3,247.7
94.0,28.0,124.0,15.0,1.0,72.0,72.1,44.8,incons
100.0,34.0,126.0,7.931742679343981,1.0,80.0,111.9,53.4,262.7
93.68868060510549,33.0,83.60743797468415,5.247270678639661,0.0,90.0,97.6,69.8,270.4
100.0,incons,126.0,9.256691503589607,1.0,72.0,73.4,39.8,201.0
82.0,28.0,109.0,13.0,0.0,115.07692771971688,44.6,32.0,125.0
108.0,33.0,134.0,14.0,1.0,101.0,103.6,71.6,300.3
76.0,24.0,98.0,incons,-0.05338314786742582,31.0,43.3,27.8,105.8
78.0,26.899093288668688,98.0,13.0,1.0,40.0,49.3,24.6,-42.75000000000001
45.0,14.0,58.0,8.0,3.0,7.0,7.2,4.7,91.65
40.0,14.0,52.0,6.0,3.0,6.0,7.4,4.0,18.4
90.0,35.0,116.0,13.0,0.0,64.0,85.0,40.6,213.6
97.0,33.0,122.0,8.853092281267124,incons,66.0,78.7,48.7,218.3
100.0,32.0,120.0,8.208040999721378,2.932034481616906,66.0,79.9,34.7,203.0
incons,25.0,112.0,8.439251156170721,1.0,75.0,68.8,25.8,188.6
90.0,34.0,115.0,8.707536753171253,1.0,77.0,75.5,34.1,209.5
90.0,35.0,114.0,7.8699414073918375,0.8445725140251306,59.0,incons,incons,91.65
94.0,31.0,120.0,10.37887363227565,0.0,65.0,87.5,39.2,207.2
91.0,34.0,113.0,13.74574987905313,0.0,64.0,68.4,31.2,181.3
84.0,28.0,109.0,8.166202198032481,0.0,51.0,-49.55000000000001,26.0,incons
69.0,20.0,88.0,13.0,3.0,52.083009801652544,24.4,18.1,73.2
82.0,30.0,100.0,11.0,0.0,44.0,56.3,27.4,100.58589442896397
55.0,19.0,72.0,8.992920467884055,3.0,18.0,16.8,8.7,43.4
61.0,19.0,77.0,14.0,3.0,18.0,18.3,11.0,50.4
60.0,18.0,78.0,9.0,0.0,17.0,28.6,12.9,61.1
83.0,18.29978148730226,54.55573478878507,13.0,0.0,50.0,49.8,27.6,137.7
55.0,22.0,72.0,10.0,3.0,17.0,19.0,10.5,46.7
52.0,20.0,67.0,8.0,3.0,14.0,15.7,11.7,38.4
85.0,28.0,101.0,8.584414403907077,1.0,57.0,55.0,32.5,170.0
59.0,20.0,79.0,10.0,3.0,32.58107160196046,26.8,27.579031924976704,54.3
65.0,21.0,82.0,10.0,1.0,24.0,31.8,15.4,91.65
91.0,38.0,112.0,5.306367162315448,incons,incons,56.6,25.8,142.8
87.0,37.0,125.97460983552502,13.0,0.0,78.0,65.8,27.2,196.3
91.0,37.0,113.0,6.534374178879061,0.0,75.0,incons,31.5,185.3
100.0,35.0,121.0,12.0,0.0,75.0,incons,46.4,219.6
91.0,30.0,113.0,6.811443922807194,1.0,52.0,73.0,31.8,164.1
113.0,43.0,145.0,8.439229158132473,0.0,116.0,139.5,94.5,378.2
107.0,32.0,135.0,8.32438838409377,1.0,84.0,118.4,63.5,282.0
111.0,39.0,133.0,13.321076763252526,1.0,72.0,116.2,70.8,140.30787801028248
98.0,31.0,113.0,9.692860901454354,2.3691669197215726,51.0,81.0,43.9,184.9
110.0,incons,129.0,9.847169794018296,1.0,66.0,114.0,incons,91.65
94.0,28.0,incons,11.0,1.1910783122306106,48.0,69.7,34.7,167.5
108.0,35.0,128.0,7.462076103069622,1.0,78.0,102.0,51.8,91.65
56.0,21.0,72.0,9.0,3.0,16.0,13.9,9.0,-42.75000000000001
62.0,22.0,83.0,10.0,3.0,19.9,24.6,11.4,59.3
82.0,27.0,105.0,11.0,1.0,47.0,58.6,30.5,141.7
57.0,20.0,76.0,11.0,incons,15.0,23.0,12.2,53.3
93.0,34.0,117.0,12.0,1.0,53.0,77.3,44.8,198.3
37.0,14.0,48.0,6.0,3.0,5.0,5.2,31.480362212480156,14.3
33.0,11.0,44.0,5.0,3.0,4.0,4.3,2.4,-42.75000000000001
95.80316998646892,14.0,51.0,6.0,3.0,5.0,5.1,4.0,14.7
50.15171075401746,14.830338558012267,35.0,5.0,3.0,1.6,1.6,0.7,91.65
110.0,38.0,134.0,12.0,1.0,80.0,108.5,60.7,91.65
106.0,39.0,131.0,13.0,0.0,82.0,113.4,54.7,134.61281059821505
110.0,42.0,136.0,6.260368589293025,1.0,incons,119.5,61.0,348.9
89.79563772543938,incons,135.0,8.62764749631469,0.0,93.0,109.0,53.3,237.43939302382267
94.65413428603385,27.0,106.0,9.0,0.4286467556679471,43.7,62.6,34.3,156.7
81.0,24.0,103.0,incons,1.0,35.4,57.9,28.1,129.2
68.0,24.0,86.0,9.0,3.0,20.9,30.2,12.9,58.72338537729955
81.0,24.0,104.0,11.0,1.0,36.2,52.9,28.3,125.4
83.0,32.0,109.0,10.0,1.0,55.3,54.4,29.1,154.3
83.0,incons,106.0,5.910324187296544,0.0,52.9,-49.55000000000001,35.77966667238969,102.55238617807731
70.0,23.0,93.0,9.0,1.1807172252550329,26.9,31.3,incons,84.2
108.0,35.0,102.67244312982947,5.83577593030946,0.0,83.0,99.1,50.8,269.4
118.0,45.0,147.0,6.953888038119725,-0.23542268835748148,116.0,127.4,68.1,351.2
109.0,37.0,incons,8.816582306843745,0.0,91.0,106.1,52.7,91.65
117.0,37.0,140.0,incons,1.0,95.0,141.1,64.3,361.5
80.0,31.0,115.0,9.591560313890373,0.0,incons,72.1,48.9,186.5
incons,25.0,114.0,15.0,0.0,48.0,75.7,35.3,169.8
92.0,30.0,116.0,incons,1.0,52.0,85.8,42.4,incons
96.0,29.0,incons,12.0,0.0,incons,84.7,47.4,202.3
93.0,28.0,117.0,13.0,1.0,63.0,76.2,32.3,incons
90.0,26.0,110.0,11.0,0.0,36.17685686100443,75.6,38.24690360033896,91.65
103.0,incons,incons,15.0,-0.3705306149096037,incons,104.7,61.3,248.3
84.0,27.0,108.0,8.910924750371342,0.0,47.0,69.7,35.9,161.5
75.98405591045135,33.0,incons,14.0,1.0,57.0,88.0,43.9,181.4418614559633
91.0,29.0,118.0,14.0,incons,57.0,95.0,38.0,214.6
92.0,incons,116.0,13.0,0.0,-13.379349634674433,71.4,36.2,184.2
102.0,31.0,131.0,11.0,1.0,82.0,106.9,57.1,257.9
106.0,35.0,77.96285125948889,15.0,0.0,83.0,97.2,52.7,252.7
100.0,39.0,125.0,8.085182467646996,0.0,incons,117.5,43.7,273.8
100.0,30.0,125.0,15.0,incons,61.0,68.9,44.7,190.6
104.0,35.0,128.0,10.900289965333853,1.0,incons,84.9,51.9,249.6
97.0,33.0,incons,10.43758738184198,1.0,incons,87.0,41.8,202.1
136.10896866152433,31.0,123.0,11.0,-0.2873786687938742,69.0,85.4,46.3,207.7
incons,35.0,111.0,10.0,0.0,61.0,65.5,40.4,incons
88.0,incons,56.52524882098328,12.0,1.0,49.0,73.3,32.7,170.8
104.0,14.18035878731236,124.0,11.048910769970579,1.0,79.0,75.6,54.0,incons
94.0,45.0,124.0,15.0,1.0,72.0,75.6,42.9,130.83892346248626
101.0,38.0,120.0,13.0,1.0,72.0,87.7,51.2,187.13659171917368
97.0,38.0,125.0,5.288487152166235,1.0,84.0,87.7,46.1,234.9
94.0,35.0,120.0,15.0,0.0,63.0,97.3,49.4,221.0
incons,47.0,112.0,12.0,0.0,61.0,66.5,31.4,167.9
91.0,45.0,99.20000000000002,10.25551130932398,0.0,73.0,76.3,44.2,211.0
87.0,36.0,112.0,incons,0.0,50.0,26.275201167748847,42.546695795097534,177.8
89.0,31.0,112.0,8.44603187411599,-0.41830312228955546,55.0,60.1,34.108667636455394,174.7
106.0,28.22961645352104,136.0,10.0,3.0,68.0,87.8,49.0,221.9
70.0,28.0,91.0,10.0,1.0,27.0,44.2,25.3,103.7
76.0,29.0,98.0,10.0,1.3948133175101622,42.0,49.8,36.2,91.65
44.0,17.0,62.0,6.0,0.0,9.0,12.2,7.3,29.2
39.0,14.0,55.0,5.0,1.0,5.0,6.2,4.3,16.0
incons,16.0,54.0,6.0,0.0,6.0,7.7,3.9,20.0
58.0,incons,80.0,9.0,0.0,15.0,-49.55000000000001,11.5,55.9
128.9403179584702,incons,56.0,5.0,0.0,6.0,6.6,4.3,18.3
46.0,18.0,65.0,5.928507040781669,0.0,9.0,12.0,6.8,29.4
50.0,18.0,69.0,6.0,1.0,11.0,15.6,0.15385901364037835,40.6
30.0,10.0,42.0,4.696716259785777,0.0,2.0,3.1,1.7,7.7
54.0,18.0,72.0,5.0,1.0,11.0,incons,7.7,37.7
52.0,23.0,73.0,9.0,3.0,14.0,18.7,8.9,43.6
28.0,11.0,40.0,5.0,0.0,2.0,2.9,7.9239971555934545,7.0
32.0,12.0,47.0,4.0,0.0,3.0,5.3,1.9,10.9
93.01853890648725,8.0,35.0,4.0,0.0,1.0,1.9,1.2,91.65
61.138140458220036,8.0,78.97166570871609,7.167341335175656,0.0,1.0,1.3,0.6,3.1
89.0,31.0,114.0,14.0,1.0,47.0,56.4,31.8,146.6
90.0,32.0,114.0,12.0,1.0,incons,79.3,51.0,194.3
60.0,19.0,77.0,9.0,2.99121096935592,17.0,17.7,11.8,48.0
84.0,37.0,106.0,5.301103087470961,3.0,-20.581603371937355,59.8,31.2,-12.862273611502218
incons,26.0,99.20000000000002,13.0,incons,26.0,130.25,21.1,-42.75000000000001
74.0,24.0,94.0,12.0,3.0,31.0,89.2352281534814,21.1,94.1
67.0,22.0,94.57853344437497,9.0,1.0,22.0,33.9,26.772864773528035,76.0
74.0,28.0,94.0,10.0,0.9398510845294362,29.0,41.9,24.5,99.7
76.0,26.0,93.0,incons,3.0,31.0,37.9,16.0,117.48428174564647
81.0,28.0,104.0,11.0,3.0,35.8,40.0,29.0,11.432487385129946
46.0,46.43036344437044,58.0,7.0,0.0,8.0,8.6,5.1,23.3
41.0,14.0,55.0,5.0,0.0,6.5,44.00929746500201,incons,18.8
58.0,23.0,75.0,10.0,incons,17.7,18.6,13.2,incons
75.0,28.0,100.0,15.0,1.0,35.8,48.4,28.3,120.8
71.0,23.0,88.0,11.0,1.0,26.2,incons,18.5,83.0
65.0,23.0,84.0,15.0,0.0,22.7,20.0,11.4,57.7
70.0,23.0,89.0,8.0,0.0,23.4,31.3,13.9,72.3
58.0,21.0,76.0,10.0,incons,17.0,19.8,10.2,51.4
49.0,15.0,64.0,11.0,-1.1023295208609256,incons,incons,7.6,31.1
63.4647115966309,13.0,incons,8.0,0.0,5.4,6.3,3.6,16.0
31.0,9.0,41.0,7.0,0.0,3.1,3.4,1.1,53.27592827238473
90.0,32.0,134.25016320333026,12.0,1.0,46.0,72.1,40.51143829647413,159.0
85.0,36.0,111.0,7.993770507992712,3.0,51.0,73.9,40.1,175.0
103.0,32.0,130.0,12.694141735330929,3.0,66.0,99.0,40.6,232.5
incons,31.0,123.0,3.543469701574069,3.0,69.0,82.9,39.0,197.7
88.0,33.0,117.29969288454724,12.0,3.0,50.0,25.439419906914395,34.7,91.65
75.39841722007785,24.0,96.0,13.0,3.0,31.0,41.5,26.2,102.8
78.0,25.0,97.0,9.0,-1.0778684842960509,24.0,57.4,28.2,118.2
77.0,30.0,100.0,10.0,3.0,32.0,52.1,33.3,125.3
81.0,30.0,105.0,14.0,3.0,51.0,61.5,41.0,159.0
100.0,33.0,108.5334057608283,12.0,1.0,74.0,91.7,59.6,238.1
62.07934431006937,19.983772913926554,132.0,13.0,1.0,88.0,103.8,52.5,265.2
80.0,29.0,104.0,13.0,3.0,44.0,53.4,21.1,-11.175451820843705
68.0,21.0,88.0,8.0,1.0,-1.6968848665709046,29.6,16.1,incons
75.93706639197997,incons,103.0,13.0,3.0,34.0,54.1,35.8,incons
incons,12.749206889226224,95.0,11.0,1.0,31.0,34.3,18.4,90.4
83.0,30.0,109.0,11.0,1.0,43.7,55.9,32.6,146.7
71.0,26.0,incons,14.0,1.0,37.0,43.75389554953291,25.2,109.3
80.28090596408478,13.0,70.0,10.0,incons,12.0,14.1,incons,35.8
71.0,26.0,97.0,12.0,3.0,33.6,-49.55000000000001,26.4,116.2
57.46028050179823,25.0,87.0,12.0,3.0,19.2,33.7,21.1,incons
incons,16.0,56.0,7.0,0.0,6.9,8.2,5.3,21.7
64.0,23.0,99.20000000000002,11.0,1.0,19.7,33.0,20.1,77.4
incons,28.0,90.0,8.49444951845444,3.0,25.5,42.0,21.8,94.8
69.0,27.0,90.0,14.0,3.0,23.5,39.5,17.5,184.5585805924477
91.0,31.0,118.0,4.248648764888167,1.0,83.0,76.4,45.5,213.2
88.0,25.52008603171724,114.0,8.141135281819373,1.0,61.0,75.7,40.2,190.7
95.0,30.0,122.0,10.0,3.0,69.0,82.9,40.0,193.3
95.0,28.0,122.0,11.0,1.0,70.0,105.5,47.1,226.6
85.0,28.0,112.0,5.399291032314882,incons,incons,80.1,39.5,183.5
87.0,35.0,117.0,10.0,1.0,54.0,81.1,49.9,196.4
89.0,30.0,99.20000000000002,11.0,3.0,51.0,130.25,41.8,177.3
96.0,35.0,126.0,7.668168307989977,1.0,103.0,100.3,60.7,273.5
98.0,35.0,125.0,11.0,1.0,73.0,111.3,incons,246.6
85.0,30.0,110.0,14.0,3.0,49.0,75.2,34.2,161.2
105.0,21.014738074992238,103.74323309725175,4.55777480551119,2.7971513636354772,87.0,132.3,68.7,292.7
71.0,24.656595896882436,92.0,9.037314514965566,3.0,23.0,43.2,26.6,98.7
61.0,20.0,82.0,11.0,1.0,22.0,72.47788175859563,13.0,72.6
78.0,25.0,99.0,11.0,3.0,incons,56.8,32.4,incons
88.0960743918384,34.0,104.0,10.0,3.0,39.0,56.0,-11.500556913555059,136.1
82.0,29.0,99.20000000000002,13.0,1.0,50.0,61.9,38.1,-20.37884829177554
67.0,21.991107917142518,90.0,incons,incons,30.0,32.8,incons,92.5
incons,24.0,81.0,13.0,1.0,19.0,27.6,11.6,incons
80.0,7.989054118841903,102.0,13.0,3.0,47.0,57.3,15.21980013630714,149.0
58.0,23.0,74.0,9.0,1.0,15.0,22.2,11.4,50.0
87.48993105372853,35.0,69.25671616208464,incons,incons,41.0,71.7,41.4,91.65
incons,36.0,132.0,8.225340941682425,1.095313806255709,84.0,105.2,59.5,154.54782696400582
84.0,30.0,107.0,12.0,0.0,48.0,51.5,30.6,139.9
91.0,36.0,102.9561537668533,13.0,3.0,60.0,60.3,36.5,170.5
86.0,28.0,110.0,9.0,0.6233840207970477,45.0,-6.830581061028653,37.2,142.7
94.0,28.0,91.29410929514971,13.0,incons,64.0,67.7,40.2,91.65
incons,29.0,incons,12.0,3.0,25.057347933546797,73.8,45.1,210.8
89.0,39.0,112.0,incons,1.0,67.0,61.0,44.9,196.2
84.0,29.0,119.70651948575565,11.027375795063497,3.0,50.0,79.6,39.3,185.2
63.0,22.0,77.0,10.0,1.3313491552531762,16.7,24.5,12.7,57.2
60.0,20.0,78.0,13.0,1.0,15.46547212396353,21.5,12.0,53.0
69.0,incons,94.0,11.049943373183591,3.0,33.2,40.1,21.6,97.7
78.0,28.0,103.0,12.0,3.0,44.7,40.0,22.7,91.65
69.0,25.0,85.0,13.0,3.0,30.8,-49.55000000000001,incons,85.0
incons,29.339754062152878,69.0,9.0,0.0,11.8,15.6,9.1,39.0
74.0,26.0,97.0,10.0,-2.7554536841663126,27.2,36.2,22.6,91.6
57.0,20.0,74.0,10.0,0.0,16.2,13.5,13.5,45.6
53.0,18.0,70.0,12.0,4.220193643878827,13.6,11.5,2.399927484708684,35.5
69.0,34.0,88.0,incons,1.7215519552828864,30.3,30.0,16.5,81.7
29.0,10.0,39.0,4.0,0.0,2.4,2.0,1.6,incons
48.0,15.0,65.0,9.0,incons,12.0,9.5,7.1,31.0
74.0,25.0,99.0,6.91907804198784,3.0,33.8,130.25,14.1,95.5
97.68435127204218,29.0,90.0,15.0,3.0,33.1,68.88110084364895,20.0,105.0
69.0,27.0,83.0,5.9728084777235875,0.0,29.6,25.6,incons,-42.75000000000001
71.0,28.0,94.0,12.0,1.0,30.4,30.5,19.0,86.6
48.0,17.0,64.0,7.0,0.0,9.8,13.1,9.4,34.0
63.11842606332948,15.0,62.0,9.0,0.5715559588113639,8.8,56.58433936768012,6.7,25.9
34.0,11.0,47.0,7.0,0.0,3.9,3.6,2.1,10.3
51.0,16.0,94.79589319608804,10.0,0.0,10.8,12.0,8.5,77.88193128246498
76.0,incons,97.0,4.611799326095589,0.9028597490548229,incons,43.5,26.0,134.6
77.0,23.0,100.0,12.0,1.0,39.0,58.9,42.14238403620715,135.7
incons,21.0,100.0,11.68214114391234,1.0,34.0,incons,incons,99.6
72.0,21.0,99.20000000000002,15.0,3.0,28.0,42.8,23.2,-42.75000000000001
81.0,32.0,105.0,12.0,-1.0685522485358703,45.0,53.1,22.5,131.6
67.0,19.0,85.0,10.0,1.0,25.0,24.1,12.2,64.4
incons,19.0,76.0,8.0,1.0,18.0,25.1,10.5,56.3
83.0,29.0,106.0,9.073369218938675,incons,53.0,76.9,37.0,188.8
53.0,17.0,68.0,7.911952125796205,0.0,13.0,-49.55000000000001,incons,36.7
73.0,23.0,95.0,9.0,incons,26.7,87.76772666791544,incons,incons
68.0,24.0,86.0,7.0,1.0,28.1,31.1,19.0,78.2
73.0,25.0,92.0,10.0,0.0,31.6,37.9,18.9,93.4
72.0,26.0,94.0,incons,0.9104859770519711,33.0,39.6,21.3,104.5
59.0,20.0,72.0,9.0,0.0,15.0,13.2,10.5,42.1
53.0,18.0,71.0,incons,1.4363728295063949,12.6,-49.55000000000001,8.2,incons
47.0,20.0,76.0,7.0,0.0,16.0,21.1,10.8,51.6
52.0,17.0,71.0,6.0,0.0,11.0,16.2,9.7,incons
69.0,24.0,88.0,14.0,3.0,32.0,39.3,21.6,97.4
80.0,26.0,102.0,7.333664116312574,1.0,39.0,43.8,27.3,114.7
48.0,17.0,65.0,7.0,incons,25.378810530416914,77.68087758310857,7.6,34.6
97.0,36.0,124.0,13.0,3.0,78.0,93.5,53.1,-42.586548835001565
90.0,32.0,118.0,4.224343302635118,1.0481357650838192,63.0,71.6,31.2,180.0
51.0,incons,66.0,7.0,0.0,12.0,14.7,9.0,37.5
68.0,26.0,90.0,9.0,-0.7703648918048582,21.0,32.1,15.9,74.3
66.0,24.0,89.0,11.0,3.0,21.0,24.0,incons,91.65
43.0,15.0,66.0,6.0,0.0,7.0,9.0,incons,-77.29896683882004
75.0,29.0,96.0,9.0,0.0,incons,43.2,26.0,155.4
incons,27.886571590949526,99.20000000000002,11.0,3.0,31.0,incons,21.0,incons
72.0,25.0,95.0,8.246517475034839,1.0,28.0,33.9,16.2,incons
36.0,33.533127437336944,51.0,5.0,0.0,5.0,6.8,incons,15.8
49.0,18.0,67.0,6.0,3.0,12.0,11.9,8.0,33.3
70.0,26.0,94.0,8.397971783102525,3.0,29.0,36.9,19.8,93.2
45.0,16.0,62.0,7.0,0.0,10.0,10.8,37.79506551058276,26.9
56.0,22.0,74.0,13.437762295228582,1.0,15.0,18.9,9.3,46.1
43.0,incons,59.0,7.0,incons,8.0,10.0,5.9,25.8
89.22762345426915,33.0,111.0,5.471356293210104,1.0,59.0,67.2,46.3,194.0
54.264372066144574,34.0,99.20000000000002,5.994854045499412,1.0,84.0,86.1,44.9,228.0
98.0,39.0,116.0,13.25883538415363,incons,82.0,106.1,50.8,263.3
95.0,37.0,117.0,11.0,1.0,66.0,82.9,32.3,70.09807390142245
105.0,36.0,130.0,11.167670336049643,3.0,106.0,119.4,incons,325.2
90.0,incons,107.0,11.0,3.0,59.0,61.1,31.1,156.2
68.0,26.0,83.0,10.0,1.0,24.0,1.0987738948603152,17.7,73.5
87.39565513301349,21.0,76.0,12.0,1.0,21.24178277848581,39.09552154659478,12.3,56.2
71.0,incons,90.0,8.811035090222642,incons,incons,22.9,13.3,82.4
59.0,19.0,79.0,10.0,1.0,16.0,15.6,10.8,44.9
70.0,24.0,91.0,11.0,0.0,32.0,36.3,23.278577554209768,-42.75000000000001
76.0,17.5862832290547,97.0,15.0,1.0,36.0,43.1,28.0,121.0
85.0,31.0,79.8847807534527,13.0,0.0,67.0,55.5,48.6,183.5
70.0,29.0,90.0,13.0,1.0,35.0,35.3,24.6,108.5
77.0,29.0,95.0,14.0,0.0,43.0,47.0,21.6,123.5
86.49396076447545,31.0,100.0,9.527954597835647,1.0,41.0,48.1,28.6,131.0
82.0,33.0,106.0,9.684221544774593,1.0,48.0,48.0,33.8,162.3
78.0,30.0,incons,4.39851597943113,0.0,34.0,45.0,24.8,incons
77.0,30.0,98.0,6.214407867172973,2.073136639836777,48.0,48.2,28.0,157.3
79.0,36.0,104.0,7.1746751053853615,1.0,49.0,31.6,22.0,128.0
83.0,29.0,108.0,12.0,0.0,49.0,15.310533645520628,33.6,148.0
89.17472792242951,23.0,100.0,11.0,incons,78.53993712807574,37.0,29.6,118.9
76.0,33.0,90.0,10.893817402932065,1.0,53.0,50.0,38.3,163.3
55.0,20.0,74.0,8.0,1.0,92.98552121493671,18.6,5.2,44.5
55.0,20.0,74.0,7.0,3.0,14.0,17.7,9.3,45.9
74.0,39.4025902766291,97.0,10.0,0.0,35.0,40.8,28.3,114.5
65.0,23.0,87.0,10.232782390991195,1.0,24.0,30.8,18.8,78.3
81.0,37.0,107.0,8.933098328209496,0.0,58.0,63.5,incons,166.9
80.0,28.0,102.0,10.0,0.0,37.0,49.1,33.3,130.3
88.0,37.0,113.0,15.0,0.0,51.0,68.8,incons,incons
80.0,30.0,107.0,13.0,7.153276739451044,42.0,66.9,42.5,160.9
81.0,incons,107.0,3.7310060282640967,1.0,69.0,52.0,28.5,185.4
80.0,34.0,105.0,11.0,0.04306146128476618,39.0,incons,41.1,146.1
88.0,30.0,118.0,11.0,0.0,59.0,73.2,48.5,191.1
75.0,30.0,100.0,10.0,0.0,38.0,50.7,29.0,127.2
incons,15.0,51.0,5.0,3.0,5.0,incons,4.1,17.3
65.0,23.0,86.0,11.0,1.0,22.0,29.5,21.3,77.3
58.0,incons,76.0,9.0,0.0,17.0,23.5,13.1,56.6
51.10395667165966,4.0,127.52860798637886,4.0,3.0,1.0,1.3,0.5,3.8
46.0,18.0,63.0,7.0,3.0,8.0,8.6,8.0,25.7
73.80188992132223,10.0,46.88782180791613,4.0,3.0,1.0,1.0,62.98578183879777,3.5
41.0,20.0,56.0,5.0,0.0,6.0,10.9,5.7,23.3
67.0,24.0,86.0,13.0,1.0,28.0,incons,22.9,88.8
63.0,20.753080399256824,79.0,7.891796876225851,1.0,23.9,23.7,18.2,70.3
96.42538757445092,21.0,99.20000000000002,12.0,0.0,17.5,24.3,23.855143152590408,58.1
77.0,27.0,96.0,14.0,1.0,34.6,37.9,28.4,107.2
61.82728116882828,21.0,89.0,incons,incons,24.6,36.0,20.6,90.5
59.0,incons,92.33356067901889,12.0,0.0,22.1,24.1,11.9,63.2
60.0,25.0,80.0,13.785308574892683,0.0,23.5,38.2,18.0,11.2108630961973
65.0,28.0,99.20000000000002,10.0,0.0,28.8,30.7,20.3,83.4
